raw,canonical_guess,kind,slot_guess,record_count,field_hit_count,example_count,score,decision,reason,source_fields,example_1,example_2,example_3,catid_samples,category_samples,source_files,fx_name_hits,description_hits,keywords_hits,filename_hits,field_quality,example_quality,category_alignment,existing_canonical_status,approved_for_ai,qa_flags
single shot,Single Shot,phrase,action,875,2587,3,60,review,record_count>=500 +20; field_diversity>=1.5 +10; appears_in_fx_name +15; known_action_vocabulary +20; phrase_ends_with_action +15; generic_detail -20; policy=review_only,fx_name=20; description=0; keywords=0; filename=0,"{""fx_name"":""AK47 V1 Single Shot 01 2m"",""description"":""Avtomat Kalashnikova, Kalashnikov AK-47, Assault Rifle, cal. 7.62 x 39mm, 6 variations. A/B with dynamic mics positioned very close, 2 mete…"",""category"":""GUNS/RIFLE"",""cat_id"":""GUNRif""}","{""fx_name"":""AK47 V1 Single Shot 01 30m"",""description"":""Avtomat Kalashnikova, Kalashnikov AK-47, Assault Rifle, cal. 7.62 x 39mm, 6 variations. X/Y with supercardiod mics 30m in front of the shoo…"",""category"":""GUNS/RIFLE"",""cat_id"":""GUNRif""}","{""fx_name"":""AK47 V1 Single Shot 01 3m"",""description"":""Avtomat Kalashnikova, Kalashnikov AK-47, Assault Rifle, cal. 7.62 x 39mm, 6 variations. A/B with cardioid mics positioned close, 3 meter be…"",""category"":""GUNS/RIFLE"",""cat_id"":""GUNRif""}",GUNRif,GUNS/RIFLE,00_Guns_CK_Remastered_Metadata.xlsx#Guns CK Remastered,20,0,0,0,high,high,aligned,existing_unknown,yes,ambiguous_token;duplicate_examples
gun shot,Gun Shot,phrase,action,183,183,3,80,review,record_count>=100 +15; known_action_vocabulary +20; category_aligned +10; phrase_ends_with_action +15; source_plus_action +20; policy=review_only,fx_name=0; description=0; keywords=20; filename=0,"{""fx_name"":"""",""description"":""Two quick and soft clicks, resembling pressing a plastic button."",""category"":""TOYS/MECHANICAL"",""cat_id"":""""}","{""fx_name"":"""",""description"":""Single dull and hard click, resembling a thump."",""category"":""TOYS/MECHANICAL"",""cat_id"":""""}","{""fx_name"":"""",""description"":""Multiple shots fired with motor softly running and stopping at the end."",""category"":""TOYS/MECHANICAL"",""cat_id"":""""}",,TOYS/MECHANICAL,00_Toy_Guns_Metadata.xlsx#Toy Guns,0,0,20,0,medium,high,weak,existing_unknown,no,ambiguous_token;category_mismatch
projectile gun shot,Projectile Gun Shot,phrase,action,176,176,3,80,review,record_count>=100 +15; known_action_vocabulary +20; category_aligned +10; phrase_ends_with_action +15; source_plus_action +20; policy=review_only,fx_name=0; description=0; keywords=0; filename=0,,,,,,,0,0,0,0,low,low,unknown,existing_unknown,no,ambiguous_token;category_unknown;insufficient_unique_examples
hard hit,Hard Hit,phrase,action,161,166,3,65,review,record_count>=100 +15; appears_in_fx_name +15; known_action_vocabulary +20; phrase_ends_with_action +15; policy=review_only,fx_name=3; description=17; keywords=0; filename=0,"{""fx_name"":""Concert Bass Soft Mallet Hard Hit Rattle"",""description"":""Resonant rattle from hard hit on concert bass."",""category"":""MUSICAL/PERCUSSION"",""cat_id"":""""}","{""fx_name"":""Concert Bass Soft Mallet Hard Hit Rattle Loose"",""description"":""Loose rattle from hard mallet hit on concert bass."",""category"":""MUSICAL/PERCUSSION"",""cat_id"":""""}","{""fx_name"":""Hard Hit"",""description"":""Forceful impact that delivers a strong, sharp blow."",""category"":""DESIGNED/BOOM"",""cat_id"":""DSGNBoom""}",WEAPArmr; WEAPSwrd; DSGNBoom; METLImpt,WEAPONS/ARMOR; MUSICAL/PERCUSSION; METAL/IMPACT; WEAPONS/SWORD; DESIGNED/BOOM,00_Medieval_Melee_CK_Metadata.xlsx#Medeival Melee CK; 00_Cinematic_Impacts_CK_Metadata.xlsx#CICK; 00_Cinematic_Impacts_DS_Metadata.xlsx#CIDS,3,17,0,0,medium,high,aligned,existing_unknown,no,ambiguous_token
